DATA;Inflação - IPC-FESO - (número índice);Inflação - IPC/alimentos-FESO - (número índice);Inflação - IPC/bebidas-FESO - (número índice);Inflação - IPC/CB-FESO - (R$);Inflação - IPC/CB-FESO - (número índice);Arroz Branco Tipo 1 - 5 KG (R$);Feijão Preto - 1 KG (R$);Feijão Carioquinha - 1 KG (R$);Batata lavada - KG (R$);Banana Prata - KG (R$);Tomate - KG (R$);Farinha de Mandioca - 1 KG (R$);Farinha de Trigo - 1 KG (R$);Fubá - 1 KG (R$);Massa Padre Nosso - 500 GR (R$);Macarrão Instântaneo - UNIDADE (R$);Espagueti - 500 GR (R$);Pão de Forma - PACOTE (R$);Pão Bisnaga - PACOTE (R$);Biscoito Salgado - PACOTE (R$);Biscoito Recheado - PACOTE (R$);Leite - UNIDADE (R$);Leite Condensado - LATA (R$);Queijo Mussarela - KG (R$);Queijo Ralado - PCT 100 GR (R$);Manteiga - 200 GR (R$);Iogurte - BANDEJA (R$);Açúcar Refinado - 1 KG (R$);Açúcar Cristal - 1 KG (R$);Pêssego em Calda - 450 GRAMAS (R$);Goiabada - pote (R$);Geléia de Mocotó - CX (R$);Achocolatado - 400 GR (R$);Chã de Dentro - KG (R$);Lingüiça Calabresa - KG (R$);Lingüiça Mista - KG (R$);Presunto - KG (R$);Mortadela - KG (R$);Frango Inteiro - KG (R$);Peito de Frango - KG (R$);Ovos Grandes Brancos - DÚZIA (R$);Sal - 1 KG (R$);Alho - KG (R$);Cebola - KG (R$);Caldo de Galinha - 126 gr. (R$);Maionese - vidro 250 GR (R$);Extrato de Tomate - lata 340 gr (R$);Pura Polpa - CAIXA 520 gr (R$);Molho Shoyu - VIDRO PEQ. (150 ml) (R$);Milho Verde - LATA (R$);Salsicha - LATA (R$);Refrigerante de Cola - 2 LITROS (R$);Refrigerante de Guaraná - 2 LITROS (R$);Refrigerante de Laranja - 2 LITROS (R$);Suco de Caju - 500 ML (R$);Xarope de Guaraná - 1 LITRO (R$);Chá Mate - CX 100G (R$);Café - 500 GR (R$);Café - 500 GR (R$);Cerveja Clara - CAIXA C/12 (R$);Vinho Tinto - 750 ML (R$);Óleo de Soja - PET 900 ml (R$);Azeite - LATA (R$);Margarina Vegetal - 250 GR (R$);Sabão Tablete - PCT. C/ 5 UNID. (R$);Sabão em Pó - CX 500G (R$);Amaciante de Roupa - 2 LITROS (R$);Detergente Líquido (Neutro) - UNIDADE (R$);Desinfetante Multi Uso -  500 ML (R$);Esponja de Aço - PACOTE (R$);Shampoo - 350 ML (R$);Condicionador - VD (GRANDE) (R$);Sabonete - UNIDADE (R$);Desodorante - Roll On 50 g (R$);Papel Higiênico - PCT. C/ 4 UNID. (R$);Creme Dental - 90 GR (R$);Pão Francês - 1 Kg (R$)
06/2013;153,5535966;170,0409405;133,9847068;317,3334625;157,9032128;13,6075;8,79;9,58;10,935;6,484;6,808;4,32;2,934;1,856666667;2,64;4,225;2,19;4,12;8,865;5,06;5,856;31,35;3,7325;10,475;5,509230769;4,021176471;3,115;12,48;4,78;4,587727273;5,358888889;5,433333333;4,99;29,67;11,2015;8,99;12,04981818;2,87625;14,82;6,2625;3,758;1,395;2,90125;0,8705;3,78;7,173333333;5,67;17,45;3,44;3,488;1,99;13,695;7,83;4,35;4,79;4,34;2,13;8,576666667;5,82;16,195;12,19333333;13,688;11,34;4,9;10,3608;4,553333333;4,99;2,66;3,4525;1,65;5,426;2,81;7,35;7,965;10,11;6,7125;6,896647224
07/2013;155,3370901;169,9172228;144,9534414;289,8399866;144,2226254;14,26318182;9,272727273;11,83454545;10,02272727;5,278181818;2,704545455;4,559350649;2,980227273;1,465272727;2,455454545;4,713636364;2,206666667;3,678333333;9,153333333;5,092272727;5,685909091;30,885;3,824545455;10,90103896;5,256923077;4,048235294;2,861428571;12,52909091;4,58;4,59;5,137777778;6,301818182;4,670909091;29,45;11,131;11,77272727;12,81809091;2,522954545;15,43363636;5,392727273;3,909545455;1,368181818;2,960909091;0,613863636;4,389090909;8,046666667;5,315454545;15,71666667;3,48;3,606363636;1,99;14,56090909;7,686363636;3,954545455;2,89;4,270519481;2,472;8,533333333;5,832467532;19,28363636;16,23345455;13,70909091;9,6625;4,825454545;10,4844;5,585454545;6,25;2,886909091;3,260649351;1,768311688;5,55;5,485909091;7,054090909;7,883506494;7,17;5,622857143;6,987392582
08/2013;156,1713524;172,0975696;143,1654309;283,2182224;140,9276756;14,76532468;9,325974026;10,90121212;6,4725;4,700454545;2,859090909;4,781818182;3,149090909;1,555909091;2,450606061;4,667171717;2,223333333;3,236666667;9,287070707;5,125454545;5,914090909;30,42;3,930909091;10,80505051;5,004615385;4,075294118;2,91;12,54;4,38;5,818181818;4,916666667;5,903636364;4,666767677;31,02090909;11,0605;13,2;13,58636364;2,880113636;14,68168831;7,758686869;3,670779221;1,332727273;2,799025974;0,527272727;4,519393939;8,107272727;6,679090909;15,98896104;3,68;3,552727273;1,871818182;14,07;7,619393939;4,425353535;2,83;4,399090909;2,433636364;8,49;5,756623377;17,87272727;16,182;13,12363636;8,985;4,959220779;10,608;4,762121212;6,07;2,978787879;3,375;1,76038961;4,9275;4,546666667;7,455;7,945681818;10,04727273;5,524545455;7,07813794
09/2013;155,5061504;171,7612994;145,5442149;293,8401564;146,2130857;14,42030303;9,334545455;7,58;5,906363636;4,820909091;4,79010101;4,743939394;3,331818182;1,470808081;2,63;4,551010101;2,24;2,795;9,477727273;5,392929293;6,518181818;29,955;4,074415584;10,94443182;4,752307692;4,102352941;2,941428571;12,55363636;4,18;4,59;5,22;6,155909091;5,070808081;32,84464646;10,99;12,08090909;9,245;2,925782828;17,10409091;7,093896104;3,734242424;1,397878788;2,230227273;0,351761364;4,751428571;7,747272727;5,415;18,97857143;3,446666667;3,712467532;1,917272727;13,92454545;8,46;4,283181818;2,985454545;4,323333333;2,6325;8,49;5,86030303;18,63636364;15,83025974;12,76;7,99;5,125454545;10,7316;4,822727273;5,89;2,9675;3,073116883;1,910779221;5,678571429;5,3075;7,447045455;7,853636364;7,224545455;5,475681818;7,168883298
10/2013;156,3570022;172,6631171;143,3088948;297,9885848;148,2773186;14,13145455;9,143636364;8,289090909;5,479090909;4;7,323636364;4,220909091;3,376363636;1,403636364;2,910909091;4,453636364;2,19;2,353333333;9,47;5,697402597;6,368181818;29,49;4,001038961;10,49613636;4,5;4,129411765;4,017272727;11,98909091;3,98;4,671818182;4,57;5,318181818;5,023333333;33,65272727;11,555;11,44454545;9,745;2,749863636;18,2661039;8,158961039;3,327012987;1,175454545;2,025519481;0,361948052;3,314545455;8,378787879;5,560909091;18,29545455;3,78;3,093454545;1,89;13,83763636;9,130545455;3,956666667;3,899090909;4,433181818;2,489090909;7,945;5,219545455;16,98409091;16,21909091;12,55636364;9,090909091;5,374545455;10,8552;4,619818182;5,71;3,034181818;3,469090909;1,715757576;5,655844156;4,239545455;8,170909091;7,948441558;8,839090909;5,19;7,259628656
11/2013;158,3967433;172,2720079;145,0410378;291,080939;144,8401158;14,17363636;8,543636364;8,661818182;7,425;5,203030303;7,813333333;4,634155844;3,160909091;1,396818182;2,59;4,495454545;2,14;1,911666667;8,966666667;5,883333333;6,178787879;29,025;3,861688312;10,36924242;4,49;4,156470588;3,7725;12,24857143;3,78;4,804545455;5,99;6,645454545;5,202987013;28,14363636;11,59909091;11,32030303;4,3475;2,294577922;24,58818182;8,234155844;3,421428571;1,381212121;2,014772727;0,484188312;3,34;8,452727273;4,677272727;17,03333333;3,928;3,150909091;2,102121212;14,17454545;8,616363636;3,808181818;4,662727273;4,280909091;3,27;7,4;5,212727273;19,25454545;14,45060606;18,47584416;9,33038961;5,267272727;10,9788;4,119090909;5,53;2,918181818;3,121666667;2,097792208;5,662727273;5,179090909;7,046666667;7,821818182;8,879090909;5,666103896;7,350374015
12/2013;157,5230014;173,0210581;150,7594626;307,0185191;152,7705593;14,08522727;8,916363636;8,029090909;6,57;5,404545455;5,827272727;4,968181818;3,368636364;1,39;2,42;4,572727273;2,4025;1,47;10,77818182;5,769090909;6,689090909;28,56;3,907272727;10,99954545;4,5;4,183529412;2,81;13,72090909;3,58;4,69;4,65;5,953333333;4,99;36,91636364;10,60212121;11,99;7,95;2,2475;18,79727273;7,744545455;3,344318182;1,485;2,145852273;0,494772727;3,98;9,027272727;5,25;17,95;5,255939394;3,054545455;1,89;15,70159091;8,403181818;4,283181818;3,741818182;4,556666667;3,000909091;7,396666667;5,239090909;20,82272727;14,99;17,23636364;9,56987013;4,798181818;11,1024;4,832727273;5,35;2,924545455;3,224090909;1,553636364;5,962727273;2,99;7,0875;7,661136364;5,997272727;5,541818182;7,441119373
01/2014;161,1287853;173,3597109;154,5136068;299,1987559;148,8794924;15,17545455;9,348181818;8,743636364;5,244545455;5,405818182;6,053636364;4,688636364;3,385;1,450606061;2,856666667;4,743181818;2,665;1,6975;9,943636364;5,66;6,627272727;29,49;3,853272727;10,13848485;4,7615;4,210588235;3,36;13,93636364;3,58;4,855909091;4,65;6,764727273;5,039090909;35,08454545;10,41727273;11,99;8,130833333;2,989181818;18,44454545;8,19;3,365454545;1,728181818;2,301227273;0,572613636;4,061818182;7,914090909;5,716363636;17,95;6,583878788;3,505454545;1,980909091;14,98090909;9,143636364;4,326363636;4,012727273;4,62030303;2,78030303;7,393333333;5,542727273;22,35272727;14,99;13,08654545;9,809350649;5,445;11,226;4,492181818;5,35;3,057090909;3,433939394;1,800454545;5,94;5,646666667;7,391363636;8,032727273;13,05;5,776363636;7,531864731
02/2014;159,9420145;172,8819971;152,2640794;316,0440783;157,261623;15,47204545;9,082077922;7,052727273;7,297272727;6,899545455;7,52987013;5,182272727;3,610909091;1,390909091;2,671818182;4,596103896;2,9275;1,925;10,18909091;5,709350649;6,514545455;30,42;3,880454545;8,992272727;5,023;4,237647059;3,106060606;13,78909091;3,98;5,021818182;5,272727273;6,545454545;5,048441558;35,21272727;11,41818182;11,99;8,311666667;2,697670455;15,97246753;7,863636364;3,599090909;1,391454545;2,314630682;0,554715909;4,344675325;8,602424242;5,593636364;16,73181818;7,911818182;3,519090909;1,928181818;15,52363636;7,853636364;4,561136364;3,705454545;4,904545455;2,793636364;7,39;5,563181818;21,98545455;15,63963636;13,68181818;10,04883117;6,697045455;11,3496;4,41987013;5,35;2,927272727;3,47030303;1,685909091;5,713636364;6,46;7,534545455;8,000681818;9,358636364;5,931818182;7,2025
03/2014;163,9289728;180,7728425;150,4700906;332,9631129;165,6804324;15,32;9,731818182;8,78;12,516;6,944545455;9,436136364;4,672337662;3,605584416;1,673181818;2,853636364;4,68961039;3,19;2,1525;9,998181818;5,676623377;6,663636364;31,35;3,762727273;9,409602273;5,2845;4,264705882;3,165909091;13,90363636;5,18;5,187727273;5,168181818;6,79038961;4,871818182;32,45272727;11,24;11,98727273;8,4925;3,270454545;16,72568182;7,429772727;4,358571429;1,397878788;2,489155844;0,561233766;4,413636364;9,172272727;5,495454545;17,4;7,993636364;3,494545455;2,135454545;15,04056818;8,566818182;4,731558442;4,205151515;4,912727273;2,742;7,49;5,583636364;20,36931818;15,21909091;13,57818182;10,28831169;5,074545455;11,4732;4,804;6,395454545;3,109090909;3,510454545;1,729393939;5,524545455;6,577878788;7,968863636;8,066136364;6,951818182;6,987272727;7,99
04/2014;163,7791698;176,7285547;145,4191832;323,8176145;161,1296877;15,33745455;9,646233766;6,76;11,77909091;7,094318182;6,594025974;4,224431818;3,506883117;1,690649351;2,713333333;4,555194805;2,080909091;2,38;10,28;5,872727273;6,445454545;32,28;3,622272727;9,602857143;5,546;4,291764706;2,99;13,50155844;5,48;5,353636364;4,58;6,792045455;5,145584416;35,90727273;9,98;10,49113636;9,313333333;2,572329545;22,68272727;7,858863636;4,485909091;1,489431818;2,463441558;0,650909091;4,593636364;6,602181818;5,220545455;17,26666667;8,793636364;3,388181818;2,523333333;14,07545455;8,302272727;4,248409091;3,935454545;4,785454545;3,1625;6,393333333;5,574545455;18,81363636;16,5869697;18,46409091;10,52779221;6,665194805;11,5968;5,54875;7,41;2,818181818;3,12;1,67012987;5,644886364;5,77;7,674545455;7,654204545;10,64727273;7,453636364;6,91
05/2014;160,1714752;174,1193791;149,9501801;322,1523891;160,3010816;15,44340909;9,599090909;4,707272727;8,286623377;6,434025974;8,202597403;3,943636364;3,718181818;1,728961039;2,756666667;4,686363636;1,99;2,6075;10,32;5,506590909;6,576363636;33,48;3,946363636;10,21073864;5,8075;4,318823529;2,975681818;13,22454545;5,78;5,99;5,196060606;6,680363636;5,212045455;34,94363636;11,34;10,87909091;9,363181818;2,884886364;16,06854545;7,982337662;4,025454545;1,584545455;2,860227273;0,701136364;4,287272727;7,623272727;5,25;18,50757576;8,82;3,314545455;2,258181818;16,68409091;8,254545455;4,656590909;4,29;4,935454545;2,838363636;7,49;5,566363636;18,02509091;15,81333333;14,78954545;10,76727273;5,248181818;11,7204;4,812727273;6,44;3,075064935;3,392727273;1,737045455;5,842727273;4,93;7,413636364;8,450909091;9,536590909;5,899090909;7,671818182
06/2014;162,1368657;176,3529673;152,3865044;310,5361841;154,5209282;15,83;9,573246753;8,598181818;7,952045455;6,373181818;7,162727273;3,794090909;3,410454545;1,579818182;2,580909091;4,879545455;3,44;2,835;10,39363636;5,627532468;6,692727273;34,12;4,088181818;10,02397727;6,069;4,345882353;3,122467532;13,18772727;6,08;5,99;5,005909091;7,315272727;5,461590909;32,41714286;11,34;11,22636364;11,245;2,884318182;21,39136364;7,841818182;3,828961039;1,370909091;2,7171875;0,604805195;4,281818182;7,576363636;5,97;16,5375;4,970909091;3,327636364;1,89;14,98636364;8,579090909;4,702207792;4,108181818;4,974090909;3,029272727;7,59;6,307954545;19,23545455;16,48;14,6638961;10,59;5,32;11,844;4,717272727;6,39;2,869090909;3,656022727;1,77;5,74;4,506136364;7,731818182;8,169220779;10,24772727;6,497386364;7,673977273
07/2014;161,9520201;172,1900545;158,6118136;306,1356114;152,3312298;16,26515152;9,091363636;5,129090909;4,80375;6,254545455;6,260808081;3,571590909;3,572222222;1,494444444;2,665;5,925;2,734848485;3,0625;10,32424242;5,512987013;6,235353535;34,76;4,073232323;10,43363636;6,3305;4,372941176;3,212727273;13,60363636;6,38;5,67;5,508;6,334285714;6,104141414;34,15662338;11,02409091;11,27181818;10,795;3,269375;16,29077922;7,154772727;3,672727273;1,406103896;2,995454545;0,610984848;4,009090909;8,158787879;8,116753247;15,04285714;8,813766234;2,947272727;2,0275;16,37909091;8,386060606;4,915909091;3,29;4,725064935;2,917272727;8,59;6,428181818;20,81181818;16,374;13,97818182;12,49083333;6,315064935;11,9676;5,104141414;4,7425;3,112467532;3,796060606;2,152337662;6,119292929;3,793896104;7,701590909;7,993409091;10,69363636;7,847727273;7,868787879
08/2014;153,5260779;159,7008967;159,9694204;300,3648258;149,4597217;16,72318182;8,6;4,216363636;4,6425;5,379318182;4,39;3,239090909;3,454090909;1,41;2,74;5,357954545;3,49;3,29;10,08;5,703636364;6,730909091;35,4;4,340909091;10,355625;6,592;4,4;2,893863636;13,45909091;6,68;5,731818182;4,913636364;6,626363636;5,435454545;36,8830303;9,907272727;9,91030303;9,767727273;2,725876623;15,64840909;7,358181818;3,563522727;1,55;2,844204545;0,577272727;4,464545455;7,918701299;5,589545455;16,69242424;7,065090909;2,868636364;2,262727273;15,47454545;9,310681818;4,868181818;4,89;4,830909091;3,105714286;6,9;5,776363636;21,99545455;16,46;12,81090909;10,59;5,313333333;12,0912;5,351363636;7,72;3,302727273;3,934545455;1,733636364;5,606883117;4,986818182;8,393636364;8,156363636;9,099545455;7,162207792;7,878522727
09/2014;161,6904183;167,7964311;165,1836971;309,1293333;153,8208877;16,97954545;8,855324675;5,543636364;2,47;5,50987013;6,289090909;3,214935065;3,652727273;1,455454545;3,54;5,969480519;3,22;3,527171717;9,727272727;5,528571429;6,868831169;39,48;4,40969697;10,39935065;6,8535;5,99;2,853636364;13,42181818;5,58;5,49;5,185;6,881818182;5,484805195;37,10666667;12,2930303;11,35333333;11,02;2,868939394;17,01233766;7,371818182;3,251038961;1,773636364;2,742727273;0,603019481;4,487272727;7,550909091;5,751818182;17,11818182;9,329090909;3,054805195;2,232424242;16,10636364;9,222424242;4,889393939;5,471818182;4,883939394;4,349090909;6,9;6,24969697;21,33030303;16,384;18,48727273;10,05363636;5,411688312;12,2148;5,368787879;7,143333333;3,365454545;3,717272727;1,813636364;5,685454545;5,103636364;8,684545455;8,196060606;11,32454545;6,566883117;7,60038961
10/2014;158,6688553;166,3418552;164,2614575;310,9617576;154,732691;16,17272727;8,616363636;5,18;3,835;4,907272727;7,829350649;2,81969697;3,373506494;1,438051948;2,39;5,773863636;2,19;3,764343434;10,43454545;5,622077922;6,654545455;34,68;4,467272727;10,12102273;7,115;4,4;3,366623377;13,47506494;4,98;6,99;4,65;7,689090909;5,615;37,75;9,982272727;11,97666667;10,56545455;2,611461039;17,31;7,351818182;3,605584416;1,424285714;2,944886364;0,456980519;4,151428571;8,231428571;7,208961039;19,85454545;9,692121212;2,805454545;2,285454545;16,27909091;9,616363636;4,755194805;3,744545455;5,044545455;3,835454545;6,9;6,032272727;22,81227273;16,2325;11,67636364;11,11181818;5,142424242;12,3384;6,283939394;6,566666667;3,387272727;3,399090909;1,623333333;5,843030303;5,680909091;8,576590909;7,834285714;10,57363636;6,122727273;7,470519481
11/2014;158,3470956;167,1337487;164,6568441;306,9301667;152,7265957;14,65840909;8,164545455;5,18;5,985;5,499090909;5,3;3,047727273;3,498727273;1,453272727;2,594545455;5,958181818;3,19;4,001515152;10,26363636;5,632727273;6,661818182;34,09028571;4,385454545;10,94477273;7,3765;4,50012987;3,353636364;12,69545455;4,809090909;4,95;5,006666667;6,536363636;5,439090909;37,83272727;12,34;10,11181818;10,2225;2,618068182;17,92854545;9,379090909;3,779818182;1,4;2,816704545;0,626;4,486181818;7,452727273;5,833636364;19,5375;13,56;2,880909091;2,060909091;15,51545455;9,467272727;4,540545455;3,79;5,063454545;3,155681818;6,9;6,121818182;22,49318182;18,4175;12,58181818;10,03363636;5,098181818;12,462;5,610727273;5,99;3,486818182;4,304090909;1,548181818;6,18;4,953636364;8,415909091;8,089090909;7,693636364;7,025454545;7,773181818
12/2014;162,0514898;173,1561204;163,5443952;324,6663571;161,5520169;15,85909091;8,013766234;5,022727273;13,97;5,255324675;5,402727273;2,996818182;3,613636364;1,506818182;2,73;5,393181818;3,147272727;4,238686869;10,26623377;5,748181818;6,804545455;33,50057143;4,531818182;10,06753247;7,638;4,60025974;3,405844156;13,12636364;4,638181818;5,183;5,086666667;7,055324675;5,428961039;38,73064935;12,21159091;12,32833333;10,9725;3,179545455;17,23753247;7,045454545;3,545844156;1,602857143;2,500519481;0,648798701;4,809090909;8,8;5,67;17,77878788;13,82545455;3,023636364;1,99;16,33363636;9,747272727;4,883333333;3,29;5,371818182;3,177272727;6,9;6,100454545;20,68909091;18,42333333;12,37558442;10,53454545;5,306060606;12,5856;5,280909091;5,235227273;3,320909091;4,594155844;1,685454545;6,437727273;5,53;8,739090909;8,576363636;7,595454545;6,107142857;7,649090909
01/2015;161,0339623;171,6334782;167,4720752;318,6129913;158,5398986;15,61666667;8,573939394;6,463636364;10,19727273;5,848571429;4,925454545;2,902121212;3,405584416;1,475757576;2,702;5,534415584;3,104545455;4,475858586;10,08545455;5,878701299;6,995584416;32,91085714;4,496753247;10,57530303;7,8995;4,70038961;3,518831169;13,16337662;4,467272727;5,416;4,975;7,121818182;5,405151515;38,91333333;12,08318182;10,93772727;11,2225;3,051363636;16,98818182;7,122727273;3,529393939;1,484;2,942727273;0,675097403;4,630909091;9,396969697;7,4;15,34166667;13,92;2,972727273;1,99;15,86318182;10,10987013;5,090909091;3,29;5,296060606;3,076;6,9;5,989090909;23,15727273;18,42333333;11,68727273;10,39590909;4,612727273;12,7092;5,532424242;4,480454545;3,128051948;4,077012987;1,664545455;5,671818182;5,626363636;8,533636364;7,9375;7,53;7,011818182;7,60038961
02/2015;162,0639457;171,4032573;163,8456998;333,2723972;165,8343304;15,98064935;9,496727273;6,585;10,57090909;6,560454545;6,756590909;2,870519481;3,458181818;1,592077922;2,91;5,673863636;3,061818182;4,713030303;10,55393939;6,077142857;7,225454545;32,32114286;4,410568182;10,17422078;8,161;4,800519481;3,375227273;13,52181818;4,296363636;5,649;5,04;7,112363636;5,553636364;38,55272727;11,95477273;11,24757576;11,55875;2,867727273;17,60181818;8,063181818;4,273181818;1,447386364;3,201647727;0,908863636;4,801818182;8,660909091;5,77;18,7875;3,74;3,071818182;2,415454545;16,06090909;10,26051948;4,872857143;3,29;5,517272727;3,015;6,9;5,985454545;22,74454545;18,22333333;12,61454545;10,47;5,010909091;12,8328;5,420909091;3,725681818;3,345974026;3,705584416;1,816818182;6,087045455;5,371818182;8,516363636;7,605909091;12,11727273;6,902727273;7,756233766
03/2015;159,6777227;172,5350051;157,2055248;332,1387727;165,2702457;15,59727273;9,166181818;6,743636364;9,87;5,990909091;6,652727273;2,614545455;3,543454545;1,563818182;3,262727273;6,059090909;3,019090909;4,95020202;10,26363636;5,978181818;7,143636364;31,73142857;4,287727273;9,672045455;8,4225;4,900649351;3,437878788;13,66090909;4,125454545;5,882;4,65;6,65;5,619090909;38,60272727;11,82636364;12,32409091;12,37227273;2,852954545;17,27618182;8,573181818;4,320909091;1,172272727;3,64875;0,872159091;4,162181818;8,438636364;9,47;17,96666667;3,9;3,039636364;2,299090909;15,97909091;8,270909091;4,920454545;4,89;5,216181818;3,46;7,165;5,988181818;20,05636364;17,5425;17,18727273;10,22454545;5,210545455;12,9564;5,171818182;2,970909091;3,439272727;3,380909091;1,984545455;6,11;4,617272727;8,579772727;7,194090909;8,050909091;6,477272727;8,336363636
04/2015;168,2684566;176,6301219;168,2547935;357,6436775;177,9613321;16,20428571;9,086060606;6,798181818;9,024545455;6,070909091;11,66484848;2,880909091;3,385454545;1,621168831;2,680909091;5,95;2,976363636;5,187373737;10,36363636;6,102727273;7,266363636;31,14171429;4,313863636;10,81193182;8,684;5,000779221;3,42030303;13,63772727;4,064848485;6,115;5,077272727;7,273506494;5,778636364;38,88;10,86515152;12,25;9,890454545;2,794090909;17,01;9,052272727;3,800649351;1,481212121;3,510284091;1,006022727;5,137575758;8,227272727;11,065;19,41;4,245454545;2,987272727;2,608181818;15,97909091;8,589090909;4,997727273;3,68;5,695454545;4,035454545;7,43;8,656666667;21,84;18,9175;13,56727273;11,62333333;5,5;13,08;5,515;6,859090909;3,275454545;4,000227273;1,826363636;5,725227273;5,082727273;8,256818182;7,612077922;11,175;6,679090909;8,470454545
05/2015;168,4672213;176,4129685;172,211461;379,8512132;189,0116677;16,05454545;8,920909091;5,816363636;7,865064935;7,047727273;14,73659091;2,775454545;3,344545455;1,530519481;2,728181818;6,003409091;2,933636364;5,424545455;10,43727273;6,028636364;7,190909091;30,552;4,083636364;10,31227273;8,9455;5,100909091;3,445113636;13,77818182;3,58;6,93;5,095454545;7,172987013;5,655454545;40,66340909;11,89376623;12,866;9,745;2,788246753;17,12454545;8,320909091;4,291136364;1,7;3,918840909;1,649545455;4,547272727;8,545454545;10,74306818;13,71666667;4,238181818;3,140909091;2,580909091;15,90545455;8,416103896;4,937012987;4,89;5,646883117;4,123333333;7,695;8,842159091;22,59909091;20,34666667;13,68181818;10,72636364;5,273181818;13,56;5,077727273;6,742272727;3,454090909;3,584545455;1,836103896;5,330909091;4,988441558;7,999090909;7,255454545;12,27136364;6,755454545;8,61
06/2015;164,9179651;169,8098021;168,8850477;354,0555346;176,1758939;16,63647727;8,086493506;3,98;10,15051948;6,898181818;7,157272727;2,622045455;3,336590909;1,480909091;2,459090909;5,628409091;2,494545455;5,403636364;10,59;6,152467532;7,239090909;35,66181818;4,043409091;11,05352273;9,207;4,966363636;3,473045455;14,04;3,713333333;6,561818182;4,918181818;7,439090909;5,830909091;41,31386364;9,98;11,98636364;6,495;2,909886364;16,13844156;6,968181818;3,959659091;1,47;4,012954545;1,655681818;4,770909091;8,376363636;10,76727273;10,79545455;4,118181818;2,905194805;2,64;15,10636364;8,227272727;4,870909091;4,363212121;5,621168831;4,214242424;8,49;8,797272727;21,09163636;20,19;13,38337662;11,69;5,654805195;14,18;5,702727273;7,305151515;3,367272727;3,792613636;1,851666667;5,807272727;4,862857143;8,666363636;7,772727273;11,22818182;6,817792208;8,862727273
07/2015;170,0496902;177,4068978;175,4615732;350,6198128;174,4662995;15,65690909;8,254545455;5,289090909;9,114545455;6,087272727;7,995064935;2,644181818;3,293636364;1,494545455;2,599090909;6,018181818;3,171818182;5,52030303;10,33309091;5,947272727;7,366493506;32,49818182;4,238181818;10,84168831;9,4685;5,033181818;3,738;13,47038961;4,543636364;5,944545455;4,325;7,411948052;5,680909091;41,31;12,025;12,23;11,098;2,668068182;17,48863636;8,376363636;4,230363636;1,512545455;4,215454545;1,807159091;4,955757576;9,588311688;10,83272727;17,00454545;5,572727273;2,993636364;2,665;17,07;9,198181818;5,225757576;3,836424242;5,707272727;4,223333333;8,48;8,812;21,60935065;20,045;13,47168831;12,30454545;5,392987013;13,31;5,268181818;7,326363636;3,572207792;3,702337662;1,912727273;6,113116883;5,644415584;8,266363636;6,780909091;9,515454545;7,420909091;8,975844156
08/2015;171,7461905;178,5491882;174,5285894;334,8931385;166,6408015;16,04805195;8,351428571;7,125454545;7,202727273;5,867792208;7,3;2,467272727;3,342727273;1,519090909;2,326363636;6,465151515;3,492181818;5,871477273;10,72704545;5,98;7,202954545;30,024;3,975681818;11,07181818;9,73;5,190909091;3,345324675;13,43454545;4,237818182;6,829393939;3,846666667;7,681818182;5,79;40,672;10,68854545;11,91519481;10,42;3,024707792;16,14818182;7,711363636;4,692272727;1,608636364;4,059431818;1,362337662;5,11974026;10,40431818;10,74238636;17,52272727;11,04;3,825714286;3,192727273;17,30844156;10,83909091;5,511931818;3,309636364;5,72125;4,469545455;6,595;7,938181818;21,42545455;22,08;12,25038961;14,12018182;5,262077922;13,74333333;5,603636364;6,603636364;3,4275;3,757532468;1,808181818;6,328051948;6,435090909;8,915454545;7,974545455;10,57636364;7,235454545;8,345
09/2015;171,6618716;175,7491943;184,0390891;334,4672197;166,4288668;16,11454545;7,989090909;6,452727273;6,675818182;5,074545455;5,42;2,192159091;3,205795455;1,529772727;2,587727273;6,654545455;2,611818182;5,648961039;10,84977273;6,118181818;7,153636364;32,16;3,811818182;10,14590909;5,18;5,021136364;3,017272727;13,63840909;3,58;6,862727273;3,368333333;7,468636364;5,653636364;42,65568182;11,49772727;13,25909091;10,17428571;2,815681818;18,79363636;9,124545455;3,870909091;1,536363636;4,266988636;0,993409091;4,222077922;8,761818182;11,06454545;15,99431818;13,76;2,943409091;2,29;16,14954545;10,37272727;5,310454545;3,562727273;5,681363636;4,512;7,29;8,640340909;21,87038961;27,54151515;13,52363636;13,66772727;5,452727273;14,065;5,508181818;6,911818182;3,261818182;3,649545455;2,05;6,620909091;6,49;9,666363636;8,078571429;7,906363636;7,071818182;9,342727273
